"","Country","X.","Life.Expectancy...both.sexes.","Females..Life.Expectancy","Males..Life.Expectancy","Capital.City","Latitude","Longitude","Population","Capital.Type"
"1","Afghanistan",168,64.23,67.44,61.2,"Kabul",34.5289,69.1725,4011770,"Capital"
"2","Albania",62,78.06,80.54,75.83,"Tiranë (Tirana)",41.3275,19.8189,475577,"Capital"
"3","Algeria",69,77.34,78.67,76.05,"El Djazaïr  (Algiers)",36.7525,3.042,2693542,"Capital"
"4","Angola",175,63.24,65.77,60.72,"Luanda",-8.8368,13.2343,7774200,"Capital"
"5","Antigua and Barbuda",48,79.42,81.8,76.71,"St. John's",17.1172,-61.8457,20764,"Capital"
"6","Argentina",64,77.98,81.26,74.62,"Buenos Aires",-34.6051,-58.4004,14966530,"Capital"
"7","Armenia",80,76.23,80.36,71.16,"Yerevan",40.182,44.5146,1080324,"Capital"
"8","Aruba",75,76.9,79.62,73.95,"Oranjestad",12.524,-70.027,29877,"Capital"
"9","Australia",10,83.73,85.56,81.89,"Canberra",-35.2835,149.1281,447692,"Capital"
"10","Austria",25,82.57,84.72,80.35,"Wien (Vienna)",48.2064,16.3707,1900547,"Capital"
"11","Azerbaijan",109,73.62,76.39,70.67,"Baku",40.3777,49.892,2285729,"Capital"
"12","Bahamas",102,74.49,77.97,70.89,"Nassau",25.0582,-77.3431,279668,"Capital"
"13","Bahrain",40,80.69,81.92,79.68,"Al-Manamah (Manama)",26.2154,50.5832,564631,"Capital"
"14","Bangladesh",107,73.98,76.31,71.78,"Dhaka",23.7104,90.4074,19578421,"Capital"
"15","Barbados",65,77.86,79.74,75.83,"Bridgetown",13.1,-59.6167,89201,"Capital"
"16","Belarus",93,75.03,79.98,69.81,"Minsk",53.9,27.5667,2004672,"Capital"
"17","Belgium",27,82.46,84.5,80.36,"Bruxelles-Brussel",50.8467,4.3499,2049510,"Capital"
"18","Belize",99,74.62,77.89,71.7,"Belmopan",17.25,-88.7667,22964,"Capital"
"19","Benin",190,60.45,62.16,58.77,"Cotonou",6.3654,2.4183,685458,"Economic Capital"
"20","Bhutan",120,72.49,74.45,70.8,"Thimphu",27.4661,89.6419,203297,"Capital"
"21","Bolivia",149,68.78,71.46,66.2,NA,NA,NA,NA,NA
"22","Bosnia and Herzegovina",81,76.18,78.3,74.05,"Sarajevo",43.8486,18.3564,342577,"Capital"
"23","Botswana",162,66.05,68.56,63.45,"Gaborone",-24.6545,25.9086,269338,"Capital"
"24","Brazil",82,76.18,79.26,73.07,"Brasília",-15.7797,-47.9297,4469585,"Capital"
"25","Brunei",101,74.54,76.78,72.49,NA,NA,NA,NA,NA
"26","Bulgaria",117,72.84,76.37,69.55,"Sofia",42.6975,23.3242,1272418,"Capital"
"27","Burkina Faso",188,60.57,62.39,58.67,"Ouagadougou",12.3642,-1.5383,2531381,"Capital"
"28","Burundi",179,62.5,64.45,60.54,"Bujumbura",-3.3822,29.3644,898968,"Capital"
"29","Cabo Verde",74,76.93,80.9,72.57,"Praia",14.9215,-23.5087,167504,"Capital"
"30","Cambodia",128,71.46,73.75,69.09,"Phnum Pénh (Phnom Penh)",11.5625,104.916,1952329,"Capital"
"31","Cameroon",183,61.92,63.47,60.39,"Yaoundé",3.8667,11.5167,3655656,"Capital"
"32","Canada",19,83.02,84.94,81.07,"Ottawa-Gatineau",45.4166,-75.698,1363159,"Capital"
"33","Central African Republic",198,55.48,57.68,53.38,"Bangui",4.3612,18.555,850946,"Capital"
"34","Chad",201,53.68,55.41,52.01,"N'Djaména",12.1067,15.0444,1322679,"Capital"
"35","Chile",38,81.16,83.41,78.84,"Santiago",-33.4569,-70.6483,6680371,"Capital"
"36","China",52,78.79,81.52,76.18,"Beijing",39.9075,116.3972,19617963,"Capital"
"37","Colombia",68,77.51,80.4,74.61,"Bogotá",4.6097,-74.0818,10574409,"Capital"
"38","Comoros",164,65.04,67.35,62.91,"Moroni",-11.7022,43.2551,62351,"Capital"
"39","Congo",174,63.26,64.86,61.69,"Brazzaville",-4.2658,15.2832,2229693,"Capital"
"40","Costa Rica",43,80.26,82.66,77.92,"San José",9.9278,-84.0807,1357745,"Capital"
"41","Côte d'Ivoire",191,60.11,61.46,58.86,"Abidjan",5.3453,-4.0268,4920776,"Administrative Capital"
"42","Croatia",49,79.4,82.14,76.61,"Zagreb",45.8144,15.978,685587,"Capital"
"43","Cuba",58,78.33,80.73,75.97,"La Habana (Havana)",23.1195,-82.3785,2136468,"Capital"
"44","Curaçao",77,76.82,80.42,72.88,"Willemstad",12.1084,-68.9335,144037,"Capital"
"45","Cyprus",32,82.05,83.81,80.26,"Lefkosia (Nicosia)",35.1595,33.3669,269469,"Capital"
"46","Czech Republic (Czechia)",46,79.82,82.58,77.02,NA,NA,NA,NA,NA
"47","Denmark",33,82.03,83.92,80.14,"København (Copenhagen)",55.6759,12.5655,1320826,"Capital"
"48","Djibouti",171,63.71,66.3,61.23,"Djibouti",11.5877,43.1447,561564,"Capital"
"49","Dominican Republic",103,74.36,77.72,71.24,"Santo Domingo",18.4896,-69.9018,3172152,"Capital"
"50","DR Congo",187,60.63,62.78,58.54,NA,NA,NA,NA,NA
"51","Ecuador",61,78.08,80.65,75.51,"Quito",-0.2299,-78.525,1822397,"Capital"
"52","Egypt",136,70.81,73.22,68.48,"Al-Qahirah (Cairo)",30.0392,31.2394,20076002,"Capital"
"53","El Salvador",111,73.38,77.55,68.88,"San Salvador",13.6894,-89.1872,1106698,"Capital"
"54","Equatorial Guinea",182,61.97,64.02,60.23,"Malabo",3.75,8.7833,296770,"Capital"
"55","Eritrea",156,67.32,69.4,65.17,"Asmara",15.3333,38.9333,895863,"Capital"
"56","Estonia",50,79.31,83.11,75.2,"Tallinn",59.437,24.7535,437027,"Capital"
"57","Eswatini",195,57.71,61.86,53.98,NA,NA,NA,NA,NA
"58","Ethiopia",157,66.65,69.75,63.73,"Addis Ababa",9.025,38.7469,4399674,"Capital"
"59","Fiji",150,68.45,70.41,66.58,"Suva",-18.1416,178.4415,178339,"Capital"
"60","Finland",26,82.52,85,80.01,"Helsinki",60.1692,24.9402,1279096,"Capital"
"61","France",16,83.35,86.08,80.5,"Paris",48.8534,2.3488,10900952,"Capital"
"62","French Guiana",67,77.63,80.48,74.94,"Cayenne",4.9333,-52.3333,57506,"Capital"
"63","French Polynesia",11,83.7,86.1,81.49,"Papeete",-17.5333,-149.5667,136005,"Capital"
"64","Gabon",159,66.17,68.76,63.87,"Libreville",0.3925,9.4537,813489,"Capital"
"65","Gambia",169,64.12,65.63,62.62,"Banjul",13.4531,-16.6794,437161,"Capital"
"66","Georgia",122,72.43,77.24,67.56,"Tbilisi",41.6941,44.8337,1077333,"Capital"
"67","Germany",31,82.18,84.44,79.9,"Berlin",52.5244,13.4105,3552123,"Capital"
"68","Ghana",166,64.53,66.72,62.37,"Accra",5.556,-0.1969,2439389,"Capital"
"69","Greece",34,82,84.44,79.58,"Athínai (Athens)",37.9534,23.749,3155600,"Capital"
"70","Grenada",87,75.49,78.45,72.74,"St.George's",12.0564,-61.7485,39297,"Capital"
"71","Guadeloupe",17,83.34,86.43,79.68,"Basse-Terre",15.9985,-61.7255,58397,"Capital"
"72","Guam",56,78.52,82.2,75.06,"Hagåtña",13.4757,144.7489,146905,"Capital"
"73","Guatemala",141,70.15,73.09,67.26,"Ciudad de Guatemala (Guatemala City)",14.6127,-90.5307,2851104,"Capital"
"74","Guinea",193,59.55,60.83,58.18,"Conakry",9.5716,-13.6476,1843121,"Capital"
"75","Guinea-Bissau",189,60.56,62.62,58.38,"Bissau",11.8636,-15.5977,558399,"Capital"
"76","Guyana",142,69.8,73.33,66.36,"Georgetown",6.8045,-58.1553,109934,"Capital"
"77","Haiti",165,64.75,67.82,61.81,"Port-au-Prince",18.5392,-72.335,2636763,"Capital"
"78","Honduras",110,73.47,76.02,71.03,"Tegucigalpa",14.0818,-87.2068,1363041,"Capital"
"79","Hong Kong",1,85.83,88.66,83,NA,NA,NA,NA,NA
"80","Hungary",70,77.09,80.27,73.76,"Budapest",47.498,19.0399,1759497,"Capital"
"81","Iceland",20,82.96,84.41,81.55,"Reykjavík",64.1355,-21.8954,216364,"Capital"
"82","India",126,72.03,73.65,70.52,"Delhi",28.6667,77.2167,28513682,"Capital"
"83","Indonesia",134,71.1,73.27,68.96,"Jakarta",-6.2118,106.8416,10516927,"Capital"
"84","Iran",71,76.97,79.84,74.28,NA,NA,NA,NA,NA
"85","Iraq",125,72.05,74.03,69.92,"Baghdad",33.3406,44.4009,6811955,"Capital"
"86","Ireland",21,82.88,84.54,81.21,"Dublin",53.3331,-6.2489,1201426,"Capital"
"87","Israel",15,83.39,85.1,81.59,"Jerusalem",31.769,35.2163,907062,"Capital"
"88","Italy",6,84.2,86.13,82.15,"Roma (Rome)",41.8947,12.4811,4209710,"Capital"
"89","Jamaica",123,72.37,74.6,70.14,"Kingston",17.997,-76.7936,589083,"Capital"
"90","Japan",3,84.95,87.97,81.91,"Tokyo",35.6895,139.6917,37468302,"Capital"
"91","Jordan",94,75.02,77.46,72.91,"Amman",31.9552,35.945,2064582,"Capital"
"92","Kazakhstan",139,70.36,73.9,66.58,"Astana",51.1801,71.446,1068113,"Capital"
"93","Kenya",173,63.34,65.83,60.95,"Nairobi",-1.2833,36.8167,4385853,"Capital"
"94","Kiribati",151,67.83,69.59,65.88,"Tarawa",1.3272,172.9813,64011,"Capital"
"95","Kuwait",42,80.45,82.91,79.09,"Al Kuwayt (Kuwait City)",29.3697,47.9783,2989270,"Capital"
"96","Kyrgyzstan",133,71.16,75.5,66.88,"Bishkek",42.87,74.59,996319,"Capital"
"97","Laos",147,69.27,71.46,67.19,NA,NA,NA,NA,NA
"98","Latvia",84,76.06,80.2,71.66,"Riga",56.946,24.1059,637089,"Capital"
"99","Lebanon",83,76.07,78.09,73.97,"Bayrut (Beirut)",33.9,35.4833,2385271,"Capital"
"100","Lesotho",199,54.91,57.82,52.12,"Maseru",-29.3167,27.4833,201851,"Capital"
"101","Liberia",181,62.04,63.34,60.73,"Monrovia",6.3005,-10.7969,1418300,"Capital"
"102","Libya",112,73.25,76.54,70.23,"Tarabulus (Tripoli)",32.8752,13.1875,1157746,"Capital"
"103","Lithuania",76,76.85,81.16,72.35,"Vilnius",54.6892,25.2798,536055,"Capital"
"104","Luxembourg",23,82.75,84.89,80.64,"Luxembourg",49.6117,6.13,119752,"Capital"
"105","Macao",2,85.51,88.11,82.88,NA,NA,NA,NA,NA
"106","Madagascar",158,66.43,68.84,64.14,"Antananarivo",-18.9137,47.5361,3058387,"Capital"
"107","Malawi",172,63.67,67.15,60.24,"Lilongwe",-13.9669,33.7873,1029639,"Capital"
"108","Malaysia",79,76.42,78.96,74.11,"Kuala Lumpur",3.1412,101.6865,7563912,"Capital"
"109","Maldives",39,81.07,82.06,80.3,"Male",4.1748,73.5089,176851,"Capital"
"110","Mali",192,60.03,61.41,58.7,"Bamako",12.65,-8,2446749,"Capital"
"111","Malta",9,83.85,85.83,81.81,"Valletta",35.8997,14.5147,212768,"Capital"
"112","Martinique",14,83.45,86.09,80.44,"Fort-de-France",14.6089,-61.0733,79361,"Capital"
"113","Mauritania",163,65.48,67.33,63.64,"Nouakchott",18.0858,-15.9785,1205414,"Capital"
"114","Mauritius",86,75.69,78.73,72.77,"Port Louis",-20.1619,57.4989,149365,"Capital"
"115","Mayotte",63,78.01,81.46,74.73,"Mamoudzou",-12.7794,45.2272,6180,"Capital"
"116","Mexico",92,75.04,78.36,71.76,"Ciudad de México (Mexico City)",19.4273,-99.1419,21580827,"Capital"
"117","Micronesia",115,72.91,75.97,70,NA,NA,NA,NA,NA
"118","Micronesia",131,71.32,75.18,67.72,NA,NA,NA,NA,NA
"119","Moldova",144,69.51,74.21,65.05,NA,NA,NA,NA,NA
"120","Mongolia",114,72.94,77.62,68.36,"Ulaanbaatar",47.9077,106.8832,1520381,"Capital"
"121","Montenegro",66,77.78,80.82,74.61,"Podgorica",42.4411,19.2636,177177,"Capital"
"122","Morocco",90,75.2,77.41,73.11,"Rabat",34.0133,-6.8326,1846661,"Capital"
"123","Mozambique",180,62.37,65.15,59.48,"Maputo",-25.9653,32.5892,1101771,"Capital"
"124","Myanmar",153,67.46,70.69,64.38,"Nay Pyi Taw",19.745,96.1297,500218,"Capital"
"125","Namibia",194,59.53,63.13,55.98,"Windhoek",-22.5594,17.0832,404280,"Capital"
"126","Nepal",137,70.78,72.68,68.87,"Kathmandu",27.7017,85.3206,1329732,"Capital"
"127","Netherlands",24,82.58,84.02,81.1,"Amsterdam",52.374,4.8897,1131690,"Capital"
"128","New Caledonia",37,81.18,84.74,77.76,"Nouméa",-22.2763,166.4572,197787,"Capital"
"129","New Zealand",18,83.16,84.84,81.43,"Wellington",-41.2866,174.7756,411346,"Capital"
"130","Nicaragua",97,74.8,77.74,71.8,"Managua",12.1328,-86.2504,1047923,"Capital"
"131","Niger",177,62.93,64.26,61.65,"Niamey",13.5137,2.1098,1213781,"Capital"
"132","Nigeria",200,53.87,54.24,53.51,"Abuja",9.0574,7.4898,2918518,"Capital"
"133","North Korea",108,73.71,76.3,71.1,NA,NA,NA,NA,NA
"134","North Macedonia",88,75.26,77.47,73.1,NA,NA,NA,NA,NA
"135","Norway",13,83.55,85.17,81.91,"Oslo",59.9127,10.7461,1012225,"Capital"
"136","Oman",51,78.97,80.77,77.45,"Masqat (Muscat)",23.6139,58.5922,1446563,"Capital"
"137","Pakistan",155,67.34,69.74,65.08,"Islamabad",33.7035,73.0594,1061412,"Capital"
"138","Panama",55,78.56,81.59,75.62,"Ciudad de Panamá (Panama City)",8.9958,-79.5196,1783490,"Capital"
"139","Papua New Guinea",160,66.12,69.34,63.51,"Port Moresby",-9.4431,147.1797,366862,"Capital"
"140","Paraguay",106,74.1,76.96,71.37,"Asunción",-25.3007,-57.6359,3222199,"Capital"
"141","Peru",72,76.96,79.26,74.69,"Lima",-12.0432,-77.0282,10390607,"Capital"
"142","Philippines",124,72.3,74.32,70.3,"Manila",14.6042,120.9822,13482468,"Capital"
"143","Poland",54,78.6,82.26,74.89,"Warszawa (Warsaw)",52.2298,21.0118,1767798,"Capital"
"144","Portugal",28,82.42,85.06,79.53,"Lisboa (Lisbon)",38.7169,-9.1399,2927316,"Capital"
"145","Puerto Rico",44,79.94,84.04,75.83,"San Juan",18.4663,-66.1057,2454337,"Capital"
"146","Qatar",35,81.73,83.25,80.81,"Ad-Dawhah (Doha)",25.2747,51.5245,633401,"Capital"
"147","Réunion",22,82.78,85.52,79.95,"Saint-Denis",-20.8823,55.4504,147209,"Capital"
"148","Romania",91,75.14,78.6,71.73,"Bucuresti (Bucharest)",44.4328,26.1043,1821380,"Capital"
"149","Russia",100,74.57,79.29,69.52,NA,NA,NA,NA,NA
"150","Rwanda",154,67.35,69.49,65.02,"Kigali",-1.9474,30.0579,1057836,"Capital"
"151","Saint Lucia",105,74.12,77.68,70.74,"Castries",14.006,-60.991,22258,"Capital"
"152","Samoa",119,72.75,75.5,70.29,"Apia",-13.8333,-171.7667,36066,"Capital"
"153","Sao Tome & Principe",148,68.89,72.04,66.13,NA,NA,NA,NA,NA
"154","Saudi Arabia",60,78.1,79.73,76.87,"Ar-Riyadh (Riyadh)",24.6905,46.7096,6906595,"Capital"
"155","Senegal",145,69.31,71.75,66.71,"Dakar",14.6937,-17.4441,2978419,"Capital"
"156","Serbia",89,75.21,78.02,72.3,"Beograd (Belgrade)",44.8176,20.4633,1389351,"Capital"
"157","Seychelles",95,75,79.36,71.31,"Victoria",-4.6167,55.45,28091,"Capital"
"158","Sierra Leone",186,60.79,62.11,59.46,"Freetown",8.484,-13.2299,1135949,"Capital"
"159","Singapore",5,84.27,86.42,82.13,"Singapore",1.2897,103.8501,5791901,"Capital"
"160","Slovakia",57,78.36,81.59,75.04,"Bratislava",48.1482,17.1067,429920,"Capital"
"161","Slovenia",29,82.31,84.75,79.86,"Ljubljana",46.0511,14.5051,286491,"Capital"
"162","Solomon Islands",135,70.86,72.51,69.38,"Honiara",-9.4333,159.95,81801,"Capital"
"163","Somalia",196,57.35,59.47,55.32,"Muqdisho (Mogadishu)",2.0416,45.3435,2081624,"Capital"
"164","South Africa",178,62.89,65.69,59.85,"Cape Town",-33.9258,18.4232,4430367,"Legislative Capital"
"165","South Korea",7,84.14,87.23,80.83,NA,NA,NA,NA,NA
"166","South Sudan",197,56.51,57.97,54.99,"Juba",4.8517,31.5825,368914,"Capital"
"167","Spain",8,84.05,86.68,81.35,"Madrid",40.4165,-3.7026,6497124,"Capital"
"168","Sri Lanka",78,76.8,80.39,73.06,"Colombo",6.9319,79.8478,599821,"Capital"
"169","St. Vincent & Grenadines",140,70.28,73.08,67.92,NA,NA,NA,NA,NA
"170","State of Palestine",104,74.28,76.67,71.91,"Al-Quds[East Jerusalem]",31.7834,35.2339,275086,"Capital"
"171","Sudan",161,66.1,68.7,63.57,"Al-Khartum (Khartoum)",15.5518,32.5324,5534079,"Capital"
"172","Suriname",118,72.79,76.25,69.42,"Paramaribo",5.8664,-55.1668,239457,"Capital"
"173","Sweden",12,83.65,85.22,82.08,"Stockholm",59.3326,18.0649,1582968,"Capital"
"174","Switzerland",4,84.38,86.05,82.63,"Bern",46.9481,7.4474,422153,"Capital"
"175","Syria",121,72.45,76.27,68.82,NA,NA,NA,NA,NA
"176","Taiwan",36,81.47,84.68,78.36,NA,NA,NA,NA,NA
"177","Tajikistan",129,71.43,73.69,69.3,"Dushanbe",38.5358,68.7791,872653,"Capital"
"178","Tanzania",152,67.6,69.8,65.46,NA,NA,NA,NA,NA
"179","Thailand",45,79.91,84.08,75.75,"Krung Thep (Bangkok)",13.722,100.5252,10156316,"Capital"
"180","Timor-Leste",146,69.31,71.1,67.67,"Dili",-8.5601,125.5668,281135,"Capital"
"181","Togo",185,61.82,62.49,61.14,"Lomé",6.1375,1.2123,1745744,"Capital"
"182","Tonga",130,71.41,74.29,68.69,"Nuku'alofa",-21.1394,-175.2032,22904,"Capital"
"183","Trinidad and Tobago",96,74.87,78.31,71.48,"Port of Spain",10.6662,-61.5166,544417,"Capital"
"184","Tunisia",73,76.94,80.18,73.86,"Tunis",36.819,10.1658,2290777,"Capital"
"185","Turkey",53,78.68,81.67,75.62,"Ankara",39.9199,32.8543,4919074,"Capital"
